id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1333054107840377130,A silent residential on mid level panorama view,6763017,Hoi Yan Sarina,,Wan Chai,22.2757,114.16826,Entire home/apt,1804,30,0,,,199,365,0,
1333054909238005843,Morning walk on mid level in wan chai,6763017,Hoi Yan Sarina,,Wan Chai,22.2738806059523,114.16933698997214,Entire home/apt,1986,30,0,,,199,364,0,
1333086693112460939,City center 2 Bdr Apartment Sleep 8 Jordan MTR,18741935,Helen,,Yau Tsim Mong,22.304120517035578,114.1700559223976,Entire home/apt,649,1,8,2025-06-21,1.79,18,297,8,
1333244865129479684,市中心，长租，短租，交通便利，尖沙咀，西九龙站，机场快线，庙街，九尤公园，花园式洋房,667386856,Ruiting,,Yau Tsim Mong,22.30398915211946,114.17053867323497,Private room,198,30,4,2025-02-16,0.78,9,90,4,
1333510433141788930,Budget Bliss Studio,744412,Gloria,,Tsuen Wan,22.36909131298581,114.11692862536904,Entire home/apt,209,28,0,,,2,250,0,
1333768860758660767,Green Kimberley St 2BR heart of TST,196723966,Mj,,Yau Tsim Mong,22.299575595620375,114.17522522187859,Entire home/apt,579,28,1,2025-04-07,0.39,15,364,1,
1333831907791381332,Tranquil Sheung Wan hideaway,70016522,Stuart,,Central & Western,22.28497,114.14791,Entire home/apt,1000,7,2,2025-03-31,0.49,1,5,2,
1334141543134171354,Quarry bay Hong Kong (entire condo) stay party pic,277654184,Man Yan,,Eastern,22.2897844,114.2091778,Entire home/apt,,1,8,2025-04-29,1.58,1,0,8,
1334465253958393485,Good location heart Hong Kong,9938700,Anna,,Central & Western,22.28367668200197,114.15286906063557,Private room,276,1,0,,,7,365,0,
1334545521821817744,尖沙咀地铁/海港城/维多利亚港/家庭安全豪华公寓可做饭洗衣服,35283322,庆莱,,Yau Tsim Mong,22.2984394,114.168947,Entire home/apt,2285,2,1,2025-04-18,0.46,6,353,1,
1334592360090631697,Wan chai budget private BR,50172398,Gloria,,Wan Chai,22.2749268570251,114.168610103189,Private room,170,14,0,,,32,298,0,
1335095082997773555,xy3-3亲子家庭房，楼下地铁站，临近星光大道，维多利亚港,122131447,Debe,,Yau Tsim Mong,22.2985929,114.1723759,Private room,,1,0,,,71,0,0,
1335434942206323314,Seaview Master Bedroom,58114084,Beatrice,,Islands,22.296051196268746,114.01978769466443,Private room,781,3,1,2025-03-26,0.34,3,62,1,
1336045042864374228,3RM CBS Station Entire Apartm.,6684297,Ka Lun,,Wan Chai,22.278778266586173,114.18013026858387,Entire home/apt,864,1,2,2025-04-25,0.44,49,108,2,
1336675320189968829,Fully furnished Walk Up Apt,41019666,Ka Ching,,Eastern,22.28756882806048,114.21072748431781,Entire home/apt,,4,1,2025-02-17,0.24,1,0,1,
1336709042512316993,利都樓 獨立衛浴房,489744412,Lailai,,Eastern,22.288047213834645,114.19308762732409,Private room,489,1,0,,,20,87,0,
1336748369957691433,市中心，长租，短租，近尖沙咀，西九龙站九龙公园，旺角 机场快线,667386856,Ruiting,,Yau Tsim Mong,22.306453291998448,114.16978874869154,Entire home/apt,388,30,7,2025-05-17,1.43,9,251,7,
1336929809458602052,"Clean, Contemporary Chic Pad",673729106,,,Yau Tsim Mong,22.30779,114.17182,Entire home/apt,502,3,11,2025-05-17,2.60,1,179,11,
1337167475475551509,四人房女生宿舍一個床位｜尖沙咀地鐵口｜交通便利,475619185,Emily,,Yau Tsim Mong,22.298821223134862,114.17645880081737,Shared room,193,1,4,2025-06-01,0.82,27,357,4,
1337192515570835545,Best Wanchai Suite Balcony,5735765,Ronny,,Wan Chai,22.278013674881308,114.17490977793932,Private room,3756,1,0,,,1,365,0,
1337226159397153878,Sunshine 1bed seaview apartment,99053086,Roman,,Central & Western,22.2806368,114.1290523,Entire home/apt,710,1,5,2025-05-04,1.07,2,348,5,
1337239637055018790,Cozy studio by the promenade,99053086,Roman,,Central & Western,22.2836156,114.1278424,Entire home/apt,630,1,0,,,2,364,0,
1337454593245868967,Village house bedroom,14340229,Jocelyn,,North,22.519899914148635,114.18516969249463,Private room,180,2,4,2025-06-01,0.81,5,340,4,
1337711485130424423,太子地鐵站附近500呎四間房一個廳新裝修 乾淨企理 值得住 多窗,576949525,Wun Man,,Yau Tsim Mong,22.32588,114.16372,Entire home/apt,977,1,14,2025-06-05,3.00,1,139,14,
1337742606608893406,Cozy Studio in Causeway Bay - Unit 39,493088457,Comfy Nomad,,Wan Chai,22.28090685226705,114.18516721576452,Entire home/apt,434,28,1,2025-02-06,0.22,93,329,1,
1338366299288602449,Cozy Studio Apartment,271735208,Li Xuan,,Central & Western,22.283939757389607,114.1287962347269,Entire home/apt,,3,3,2025-03-14,0.62,1,0,3,
1338438967009826551,New ! Modern apartment 2 rms for 6 ppl,3800609,Zoe,,Yau Tsim Mong,22.3120919,114.1709771,Entire home/apt,1066,1,21,2025-06-17,5.04,11,265,21,
1338692504395155318,1BR apartment with a private terrace and balcony,59853872,Jhalak,,Central & Western,22.28583660579801,114.14672390556879,Entire home/apt,1520,1,4,2025-06-13,1.74,1,354,4,
1339088762201218606,Cosy 1BR apartment,8254189,Daisy Lan Lan,,Wan Chai,22.26911,114.18691,Entire home/apt,830,2,3,2025-03-20,0.63,1,13,3,
1339499375616268383,PL1/Jordan MTR/Private Bathroom,546894865,Chole,,Yau Tsim Mong,22.30572587816052,114.17275180644579,Private room,306,1,19,2025-06-07,4.16,7,191,19,
1339517283544593249,TST Great Location Apartment,484116025,Alan,,Yau Tsim Mong,22.2977187,114.1718214,Entire home/apt,600,28,0,,,70,191,0,
1340478063022304656,ArtRoom 12-Capsule Bed for Lady,276141713,Kwong Ling,,Yau Tsim Mong,22.307950965201687,114.16478644347112,Shared room,207,1,13,2025-06-02,2.67,23,270,13,
1340483690619951163,Spacious TST room & Private Kitchen,484116025,Alan,,Yau Tsim Mong,22.2979758,114.171327,Entire home/apt,846,30,0,,,70,260,0,
1340496630374316880,ArtRoom #1-Capsule Bed for Lady,276141713,Kwong Ling,,Yau Tsim Mong,22.306617579563273,114.16621843957334,Shared room,207,1,10,2025-05-26,2.36,23,345,10,
1341149932928886578,Cozy room next to Mid-Levels escalator,71761233,Ekaterina,,Central & Western,22.279301917632598,114.152546456237,Private room,452,2,6,2025-04-28,1.26,2,9,6,
1341793422369610175,Seaview Room with own bathroom,58114084,Beatrice,,Islands,22.296083062651164,114.0195871517569,Private room,613,3,4,2025-06-04,1.05,3,88,4,
